"Case Number";"Season";"Year";"Type";"Country";"Area";"Sex";"Fatal (Y/N)";"Species";"original order"
"1995.10.21";"Fall";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3969
"1995.10.28.R";"Fall";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3970
"1996.01.16";"Winter";"1996";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3981
"1996.01.23";"Winter";"1996";"Provoked";"USA";"Florida";"M";"N";"Nurse Shark";3983
"1996.02.19.R";"Winter";"1996";"Provoked";"USA";"Missouri";"F";"N";"Nurse Shark";3989
"1996.05.07";"Spring";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3997
"1996.05.18";"Spring";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3999
"1996.06.25";"Summer";"1996";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4004
"1996.07.04.b";"Summer";"1996";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4006
"1996.07.10";"Summer";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4007
"1996.07.20";"Summer";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4009
"1996.07.21";"Summer";"1996";"Unprovoked";"USA";"Massachusetts";"M";"N";"Unknown";4010
"1996.07.26";"Summer";"1996";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4013
"1996.08.11";"Summer";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Hammerhead Shark";4014
"1996.08.13";"Summer";"1996";"Unprovoked";"USA";"California";"M";"N";"White Shark";4015
"1996.08.29";"Summer";"1996";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4016
"1996.09.02.a";"Fall";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4019
"1996.09.02.b";"Fall";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4020
"1996.09.06.a";"Fall";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4021
"1996.09.18";"Fall";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4023
"1996.10.03.a";"Fall";"1996";"Unprovoked";"USA";"California";"M";"N";"White Shark";4025
"1996.10.03.b";"Fall";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4026
"1996.10.05.";"Fall";"1996";"Unprovoked";"USA";"California";"M";"N";"White Shark";4027
"1996.11.18";"Fall";"1996";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4031
"1996.11.29.a";"Fall";"1996";"Unprovoked";"USA";"California";"M";"N";"White Shark";4032
"1997.05.31.a";"Spring";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4049
"1997.05.31.b";"Spring";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4050
"1997.05.31.c";"Spring";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4051
"1997.06.02";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";4052
"1997.06.09";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4054
"1997.06.24";"Summer";"1997";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4056
"1997.07.14";"Summer";"1997";"Unprovoked";"USA";"South Carolina";"M";"N";"Blacktip Shark";4059
"1997.08.02.a";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4063
"1997.08.02.b";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4064
"1997.08.04";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4065
"1997.08.05";"Summer";"1997";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";4066
"1997.08.09";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4067
"1997.08.10";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4068
"1997.08.11.c";"Summer";"1997";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4071
"1997.08.24";"Summer";"1997";"Unprovoked";"USA";"California";"M";"N";"White Shark";4074
"1997.08.27";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4075
"1997.08.30";"Summer";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4076
"1997.09.06";"Fall";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4077
"1997.09.09";"Fall";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4079
"1997.10.04";"Fall";"1997";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4081
"1997.10.21";"Fall";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4083
"1997.10.24";"Fall";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";4084
"1997.10.28.a";"Fall";"1997";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4085
"1997.11.05.R";"Fall";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4088
"1997.12.25.a";"Winter";"1997";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4090
"1998.02.23";"Winter";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";4103
"1998.03.08.a";"Spring";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";4104
"1998.03.31";"Spring";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4106
"1998.04.17";"Spring";"1998";"Provoked";"USA";"Florida";"M";"N";"Nurse Shark";4109
"1998.04.21";"Spring";"1998";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";4110
"1998.05.16.b";"Spring";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4113
"1998.05.16.c";"Spring";"1998";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4114
"1998.05.25";"Spring";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Lemon Shark";4115
"1998.06.08";"Summer";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4120
"1998.07.25";"Summer";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4126
"1998.08.13";"Summer";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4131
"1998.08.23.R";"Summer";"1998";"Unprovoked";"USA";"Virginia";"M";"N";"Dusky Shark";4133
"1998.08.26";"Summer";"1998";"Unprovoked";"USA";"California";"M";"N";"White Shark";4134
"1998.08.30";"Summer";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4136
"1998.09.14";"Fall";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4138
"1998.09.22";"Fall";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4140
"1998.09.27";"Fall";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4141
"1998.10.01.a";"Fall";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4142
"1998.10.10";"Fall";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4145
"1998.10.24";"Fall";"1998";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4147
"1998.11.05";"Fall";"1998";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";4150
"1998.11.11";"Fall";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4151
"1998.11.14";"Fall";"1998";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4152
"1998.11.21";"Fall";"1998";"Unprovoked";"USA";"Florida";"M";"Y";"Tiger Shark";4153
"1998.12.24";"Winter";"1998";"Provoked";"USA";"Florida";"M";"N";"Unknown";4158
"1999.02.03";"Winter";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";4166
"1999.03.05";"Spring";"1999";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";4169
"1999.03.08";"Spring";"1999";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4170
"1999.03.18.a";"Spring";"1999";"Unprovoked";"USA";"Hawaii";"F";"Y";"Unknown";4173
"1999.04.01";"Spring";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4176
"1999.06.09";"Summer";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4181
"1999.06.12";"Summer";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4182
"1999.06.17";"Summer";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4183
"1999.06.19";"Summer";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4184
"1999.07.04";"Summer";"1999";"Unprovoked";"USA";"Florida";"F";"N";"Blacktip Shark";4186
"1999.07.06";"Summer";"1999";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4187
"1999.07.21";"Summer";"1999";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4189
"1999.07.26";"Summer";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Bull Shark";4190
"1999.08.05.a";"Summer";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4193
"1999.08.16";"Summer";"1999";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4194
"1999.08.21";"Summer";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4195
"1999.08.24";"Summer";"1999";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4197
"1999.08.26";"Summer";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4198
"1999.09.04.a";"Fall";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4199
"1999.09.04.b";"Fall";"1999";"Provoked";"USA";"Florida";"M";"N";"Unknown";4200
"1999.09.05";"Fall";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4201
"1999.09.10";"Fall";"1999";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4202
"1999.09.16";"Fall";"1999";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4203
"1999.09.18";"Fall";"1999";"Unprovoked";"USA";"California";"M";"N";"White Shark";4204
"1999.09.29";"Fall";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4206
"1999.10.01";"Fall";"1999";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4207
"1999.10.20";"Fall";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Lemon Shark";4208
"1999.10.30.a";"Fall";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4209
"1999.10.30.b";"Fall";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4210
"1999.11.15";"Fall";"1999";"Unprovoked";"USA";"California";"M";"N";"White Shark";4215
"1999.11.23";"Fall";"1999";"Unprovoked";"USA";"Hawaii";"F";"N";"Tiger Shark";4216
"1999.11.30";"Fall";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4217
"1999.12.02";"Winter";"1999";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4218
"2000.02.21";"Winter";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4232
"2000.03.00";"Spring";"2000";"Unprovoked";"USA";"Louisiana";"M";"N";"Shortfin Mako Shark";4233
"2000.03.24";"Spring";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4240
"2000.03.26";"Spring";"2000";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4241
"2000.03.31";"Spring";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4243
"2000.04.09";"Spring";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4244
"2000.04.14";"Spring";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4245
"2000.06.02";"Summer";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4251
"2000.06.09.a";"Summer";"2000";"Unprovoked";"USA";"Alabama";"M";"N";"Bull Shark";4252
"2000.06.09.b";"Summer";"2000";"Unprovoked";"USA";"Alabama";"M";"N";"Bull Shark";4253
"2000.06.10";"Summer";"2000";"Unprovoked";"USA";"Texas";"M";"N";"Blacktip Shark";4254
"2000.06.19";"Summer";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4256
"2000.07.02.a";"Summer";"2000";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4260
"2000.07.02.b";"Summer";"2000";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4261
"2000.07.04.a";"Summer";"2000";"Unprovoked";"USA";"Florida";"F";"N";"Nurse Shark";4262
"2000.07.04.b";"Summer";"2000";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4263
"2000.07.06";"Summer";"2000";"Unprovoked";"USA";"North Carolina";"F";"N";"Tiger Shark";4264
"2000.07.07";"Summer";"2000";"Unprovoked";"USA";"Texas";"M";"N";"Lemon Shark";4265
"2000.07.09";"Summer";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4266
"2000.07.10";"Summer";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4267
"2000.07.16.b";"Summer";"2000";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4272
"2000.07.17";"Summer";"2000";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4273
"2000.07.22";"Summer";"2000";"Unprovoked";"USA";"Florida";"F";"N";"Nurse Shark";4274
"2000.07.25";"Summer";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4275
"2000.08.12";"Summer";"2000";"Unprovoked";"USA";"Florida";"F";"N";"Blacktip Shark";4279
"2000.08.13";"Summer";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4280
"2000.08.15";"Summer";"2000";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4281
"2000.08.21";"Summer";"2000";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4282
"2000.08.27.R";"Summer";"2000";"Provoked";"USA";"Alaska";"M";"N";"Salmon shark";4283
"2000.08.30";"Summer";"2000";"Unprovoked";"USA";"Florida";"M";"Y";"Unknown";4284
"2000.08.31";"Summer";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4285
"2000.09.08.b";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4288
"2000.09.10.b";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4291
"2000.09.11";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4292
"2000.09.12";"Fall";"2000";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4293
"2000.09.15";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4294
"2000.09.29";"Fall";"2000";"Unprovoked";"USA";"California";"M";"N";"White Shark";4300
"2000.10.02";"Fall";"2000";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4301
"2000.10.06.a";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4302
"2000.10.06.b";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";4303
"2000.10.09";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4304
"2000.10.14";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4305
"2000.10.18";"Fall";"2000";"Unprovoked";"USA";"Hawaii";"F";"N";"Tiger Shark";4306
"2000.10.20";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4307
"2000.11.04";"Fall";"2000";"Unprovoked";"USA";"California";"M";"N";"White Shark";4309
"2000.11.18";"Fall";"2000";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4313
"2001.01.09";"Winter";"2001";"Unprovoked";"USA";"California";"M";"N";"Unknown";4323
"2001.03.09";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";4333
"2001.03.23";"Spring";"2001";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4334
"2001.04.05";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4337
"2001.04.11.a";"Spring";"2001";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4341
"2001.04.11.c";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4342
"2001.04.11.d";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4343
"2001.04.12.a";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4344
"2001.04.12.b";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4345
"2001.04.12.c";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4346
"2001.04.12.d";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4347
"2001.04.12.e";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4348
"2001.04.13.a";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4349
"2001.04.13.b";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4350
"2001.04.28";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4351
"2001.05.03";"Spring";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4353
"2001.05.20";"Spring";"2001";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4358
"2001.05.23 ";"Spring";"2001";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4359
"2001.05.29";"Spring";"2001";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";4360
"2001.06.03";"Summer";"2001";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4361
"2001.06.10";"Summer";"2001";"Provoked";"USA";"California";"M";"N";"White Shark";4363
"2001.06.12";"Summer";"2001";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";4364
"2001.07.00";"Summer";"2001";"Unprovoked";"USA";"Georgia";"M";"N";"Unknown";4365
"2001.07.06.a";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Bull Shark";4367
"2001.07.15.a";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4369
"2001.07.15.b";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4370
"2001.07.24";"Summer";"2001";"Unprovoked";"USA";"Florida";"F";"N";"Nurse Shark";4372
"2001.07.25";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4373
"2001.07.26";"Summer";"2001";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4374
"2001.08.05";"Summer";"2001";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4377
"2001.08.18.a";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";4380
"2001.08.18.b";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4381
"2001.08.18.c";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4382
"2001.08.19.a";"Summer";"2001";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4383
"2001.08.19.b";"Summer";"2001";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4384
"2001.08.19.c";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4385
"2001.08.21";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4386
"2001.08.22";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4387
"2001.08.25";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4388
"2001.08.26";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4389
"2001.08.27";"Summer";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4390
"2001.08.29";"Summer";"2001";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4391
"2001.09.01";"Fall";"2001";"Unprovoked";"USA";"Virginia";"M";"Y";"Bull Shark";4393
"2001.09.02";"Fall";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4394
"2001.09.03.a";"Fall";"2001";"Unprovoked";"USA";"North Carolina";"F";"N";"White Shark";4395
"2001.09.03.b";"Fall";"2001";"Unprovoked";"USA";"North Carolina";"M";"Y";"White Shark";4396
"2001.09.07.a";"Fall";"2001";"Invalid";"USA";"South Carolina";"F";"N";"Not Shark";4397
"2001.09.07.b";"Fall";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4398
"2001.09.08";"Fall";"2001";"Provoked";"USA";"Florida";"M";"N";"Unknown";4399
"2001.09.15.a";"Fall";"2001";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4401
"2001.09.15.b";"Fall";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4402
"2001.09.16";"Fall";"2001";"Invalid";"USA";"Florida";"M";"Y";"Not Shark";4403
"2001.09.18";"Fall";"2001";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4404
"2001.09.24";"Fall";"2001";"Provoked";"USA";"Florida";"M";"N";"Unknown";4405
"2002.01.01.a";"Winter";"2002";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4414
"2002.03.15.a";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";4425
"2002.03.15.b";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Nurse Shark";4426
"2002.03.19";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4427
"2002.03.25.a";"Spring";"2002";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4429
"2002.03.25.b";"Spring";"2002";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4430
"2002.04.01";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4431
"2002.04.02";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4432
"2002.04.18";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4435
"2002.04.20";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4436
"2002.05.13";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4441
"2002.05.22.a";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4444
"2002.05.22.b";"Spring";"2002";"Provoked";"USA";"Florida";"M";"N";"Blacktip Shark";4445
"2002.05.31.a";"Spring";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4446
"2002.05.31.b";"Spring";"2002";"Unprovoked";"USA";"California";"M";"N";"White Shark";4447
"2002.06.09.a";"Summer";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4449
"2002.06.09.b";"Summer";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4450
"2002.06.11.a";"Summer";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4451
"2002.06.20.a";"Summer";"2002";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4456
"2002.07.04";"Summer";"2002";"Unprovoked";"USA";"North Carolina";"F";"N";"Unknown";4458
"2002.07.09.b";"Summer";"2002";"Provoked";"USA";"Maryland";"M";"Y";"Shortfin Mako Shark";4460
"2002.07.10";"Summer";"2002";"Provoked";"USA";"Florida";"M";"N";"Unknown";4461
"2002.07.20";"Summer";"2002";"Unprovoked";"USA";"North Carolina";"F";"N";"Bull Shark";4462
"2002.07.26";"Summer";"2002";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4463
"2002.08.05";"Summer";"2002";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4464
"2002.08.07";"Summer";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4466
"2002.08.11";"Summer";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Nurse Shark";4467
"2002.08.14";"Summer";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4468
"2002.08.17";"Summer";"2002";"Unprovoked";"USA";"Alabama";"F";"N";"Unknown";4469
"2002.08.28";"Summer";"2002";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4470
"2002.09.05";"Fall";"2002";"Provoked";"USA";"Florida";"M";"N";"Hammerhead Shark";4471
"2002.09.09";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4472
"2002.09.21.a";"Fall";"2002";"Unprovoked";"USA";"California";"M";"N";"Unknown";4476
"2002.09.21.b";"Fall";"2002";"Unprovoked";"USA";"Oregon";"M";"N";"Unknown";4477
"2002.09.27.b";"Fall";"2002";"Provoked";"USA";"Florida";"M";"N";"Blacktip Shark";4479
"2002.09.27.c";"Fall";"2002";"Unprovoked";"USA";"Hawaii";"M";"N";"Blacktip Shark";4480
"2002.09.29";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4481
"2002.09.30";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4482
"2002.10.03";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4483
"2002.10.05.a";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4484
"2002.10.05.b";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4485
"2002.10.11";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4486
"2002.10.30";"Fall";"2002";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";4488
"2002.11.02";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4490
"2002.11.11";"Fall";"2002";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4491
"2002.11.17";"Fall";"2002";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";4493
"2002.11.28.a";"Fall";"2002";"Unprovoked";"USA";"California";"M";"N";"White Shark";4494
"2003.02.15.a";"Winter";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4507
"2003.03.10";"Spring";"2003";"Provoked";"USA";"Florida";"F";"N";"Unknown";4510
"2003.04.04";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4511
"2003.04.09";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4512
"2003.04.15";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4514
"2003.04.18";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4515
"2003.04.19";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4516
"2003.04.20.a";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4517
"2003.04.20.b";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4518
"2003.04.20.c";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4519
"2003.04.21.a";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4520
"2003.04.21.b";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4521
"2003.05.03";"Spring";"2003";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4527
"2003.05.07";"Spring";"2003";"Provoked";"USA";"Florida";"M";"N";"Unknown";4528
"2003.05.10";"Spring";"2003";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4529
"2003.05.14";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4530
"2003.05.25";"Spring";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4531
"2003.06.19";"Summer";"2003";"Unprovoked";"USA";"North Carolina";"M";"N";"Nurse Shark";4534
"2003.06.22";"Summer";"2003";"Unprovoked";"USA";"Johnston Atoll";"M";"N";"Unknown";4535
"2003.06.24.a";"Summer";"2003";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4536
"2003.06.24.b";"Summer";"2003";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4537
